category,element,variable,statistic,unit,year,value
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2067,1.2792757636991023
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2068,1.2817879713304616
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2069,1.284339421125725
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2070,1.2845076190140217
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2071,1.2838571700234689
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2072,1.2781632230081976
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2073,1.2711297267994728
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2074,1.26287714559078
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2075,1.254567359462671
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2076,1.24495240701319
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2077,1.2348499927336989
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2078,1.228587117344575
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2079,1.2234454389306617
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2080,1.2204170310636575
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2081,1.2201463488905355
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2082,1.2195529883508789
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2083,1.217964049771894
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2084,1.2150171287006466
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2085,1.21074943
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2086,1.2016730544
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2087,1.1932976858
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2088,1.1861986154
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2089,1.1772815192
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2090,1.1715092908
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2091,1.1659815244
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2092,1.1627401022
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2093,1.1552011329999998
